,hour,temperature,dewPoint,visibility,humidity,cloudCover,pressure,windSpeed,windBearing,precipType,icon,summary,Year,Month
2300,2010-04-06T20,73.97,51.26,9.9,0.45,0.55,1012.64,9.4,207.0,,partly-cloudy-night,Partly Cloudy,2010,04
2301,2010-04-06T21,76.03,50.05,10.0,0.4,0.0,1015.54,6.19,197.0,,clear-night,Clear,2010,04
2302,2010-04-06T22,74.59,51.67,10.0,0.45,0.0,1016.14,6.86,207.0,,clear-night,Clear,2010,04
2303,2010-04-06T23,73.42,52.5,9.9,0.48,0.0,1016.24,8.42,209.0,,clear-night,Clear,2010,04
2304,2010-04-07T00,71.37,53.22,9.94,0.53,0.0,1016.03,7.38,207.0,,clear-night,Clear,2010,04
2305,2010-04-07T01,68.39,53.38,9.94,0.59,0.0,1015.65,5.79,199.0,,clear-night,Clear,2010,04
2306,2010-04-07T02,66.27,52.98,9.94,0.62,0.0,1015.35,6.59,217.0,,clear-night,Clear,2010,04
2307,2010-04-07T03,65.87,52.8,9.82,0.63,0.0,1015.02,8.5,210.0,,clear-night,Clear,2010,04
2308,2010-04-07T04,64.26,52.76,10.0,0.66,0.21,1014.83,7.1,212.0,,clear-night,Clear,2010,04
2309,2010-04-07T05,62.49,52.77,9.97,0.71,0.21,1014.86,7.45,227.0,,clear-night,Clear,2010,04
2310,2010-04-07T06,60.04,52.64,9.77,0.77,0.21,1014.79,4.94,219.0,,clear-night,Clear,2010,04
2311,2010-04-07T07,58.35,52.26,9.68,0.8,0.21,1015.0,3.29,215.0,,clear-night,Clear,2010,04
2312,2010-04-07T08,58.32,53.27,9.59,0.83,0.53,1015.66,4.69,214.0,,partly-cloudy-day,Partly Cloudy,2010,04
2313,2010-04-07T09,63.15,55.06,9.87,0.75,0.54,1016.35,8.03,249.0,,partly-cloudy-day,Partly Cloudy,2010,04
2314,2010-04-07T10,68.05,54.46,9.75,0.62,0.53,1016.81,9.87,246.0,,partly-cloudy-day,Partly Cloudy,2010,04
2315,2010-04-07T11,72.41,53.99,7.2,0.52,0.58,1016.67,14.24,238.0,,partly-cloudy-day,Partly Cloudy,2010,04
2316,2010-04-07T12,73.28,51.08,8.36,0.46,0.58,1016.57,13.5,215.0,,partly-cloudy-day,Partly Cloudy,2010,04
2317,2010-04-07T13,75.36,49.3,9.03,0.4,0.55,1016.33,9.16,217.0,,partly-cloudy-day,Partly Cloudy,2010,04
2318,2010-04-07T14,77.4,47.67,9.88,0.35,0.54,1015.63,12.25,212.0,,partly-cloudy-day,Partly Cloudy,2010,04
2319,2010-04-07T15,78.39,46.53,9.9,0.33,0.54,1014.6,8.43,197.0,,partly-cloudy-day,Partly Cloudy,2010,04
2320,2010-04-07T16,79.49,43.97,9.94,0.28,0.54,1013.51,10.39,192.0,,partly-cloudy-day,Partly Cloudy,2010,04
2321,2010-04-07T17,79.67,45.52,10.0,0.3,0.53,1012.98,12.2,189.0,,partly-cloudy-day,Partly Cloudy,2010,04
2322,2010-04-07T18,79.31,46.04,9.94,0.31,0.53,1012.53,15.15,192.0,,partly-cloudy-day,Partly Cloudy,2010,04
2323,2010-04-07T19,77.38,48.84,10.0,0.37,0.53,1012.52,9.49,190.0,,partly-cloudy-day,Partly Cloudy,2010,04
2324,2010-04-07T20,62.23,49.14,9.98,0.62,0.28,1007.65,7.57,288.0,,partly-cloudy-night,Partly Cloudy,2010,04
2325,2010-04-07T21,70.84,53.14,10.0,0.54,0.55,1012.43,6.8,197.0,,partly-cloudy-night,Partly Cloudy,2010,04
2326,2010-04-07T22,69.02,53.42,10.0,0.58,0.55,1012.01,5.79,178.0,,partly-cloudy-night,Partly Cloudy,2010,04
2327,2010-04-07T23,67.34,54.06,10.0,0.62,0.57,1011.61,5.79,177.0,,partly-cloudy-night,Partly Cloudy,2010,04
