GeoLocation,city_Longview_TX:1.000000
Weather,meteo_2010_2010-01-28T00:1.000000
Weather,meteo_2010_2010-01-28T01:1.000000
Weather,meteo_2010_2010-01-28T02:1.000000
Weather,meteo_2010_2010-01-28T03:1.000000
Weather,meteo_2010_2010-01-28T04:1.000000
GeoLocation,city_Shreveport_LA:1.000000
Weather,meteo_2010_2010-01-28T05:1.000000
Weather,meteo_2010_2010-01-28T06:1.000000
JAN,locatedIn,state_MS:1.000000
Weather,meteo_2010_2010-01-28T18:1.000000
City,city_North_Bend_OR:1.000000
Weather,meteo_2010_2010-01-28T19:1.000000
Weather,meteo_2010_2010-01-28T10:1.000000
Weather,meteo_2010_2010-01-28T11:1.000000
Weather,meteo_2010_2010-01-28T12:1.000000
Weather,meteo_2010_2010-01-28T13:1.000000
Airport,FAI:1.000000
Weather,meteo_2010_2010-01-28T14:1.000000
Weather,meteo_2010_2010-01-28T15:1.000000
Weather,meteo_2010_2010-01-28T16:1.000000
Weather,meteo_2010_2010-01-28T17:1.000000
RKS,locatedIn,city_Rock_Springs_WY:1.000000
Airport,FAR:1.000000
Weather,meteo_2010_2010-01-28T20:1.000000
Airport,FAT:1.000000
Airport,FAY:1.000000
city_Pittsburgh_PA,locatedIn,state_PA:1.000000
GeoLocation,city_Austin_TX:1.000000
AMA,locatedIn,state_TX:1.000000
Airport,FCA:1.000000
city_Aguadilla_PR,locatedIn,state_PR:1.000000
City,city_Hattiesburg-Laurel_MS:1.000000
Weather,meteo_2010_2010-01-16T21:1.000000
Weather,meteo_2010_2010-01-16T20:1.000000
ACY,serveCity,city_Atlantic_City_NJ:1.000000
Weather,meteo_2010_2010-01-16T23:1.000000
Weather,meteo_2010_2010-01-16T22:1.000000
BGM,serveCity,city_Binghamton_NY:1.000000
dep_2010-01-21_67,hasFlight,Flight67:1.000000
City,city_Houston_TX:1.000000
Weather,meteo_2010_2010-01-16T18:1.000000
Weather,meteo_2010_2010-01-16T17:1.000000
Weather,meteo_2010_2010-01-16T19:1.000000
Weather,meteo_2010_2010-01-16T10:1.000000
Weather,meteo_2010_2010-01-16T12:1.000000
Weather,meteo_2010_2010-01-16T11:1.000000
Weather,meteo_2010_2010-01-16T14:1.000000
Weather,meteo_2010_2010-01-16T13:1.000000
Weather,meteo_2010_2010-01-16T16:1.000000
Weather,meteo_2010_2010-01-16T15:1.000000
Weather,meteo_2010_2010-01-04T21:1.000000
Weather,meteo_2010_2010-01-04T22:1.000000
city_Atlanta_GA,locatedIn,state_GA:1.000000
City,city_Chantilly_VA:1.000000
Weather,meteo_2010_2010-01-04T20:1.000000
Weather,meteo_2010_2010-01-04T23:1.000000
Weather,meteo_2010_2010-01-16T07:1.000000
City,city_Missoula_MT:1.000000
Weather,meteo_2010_2010-01-16T06:1.000000
Weather,meteo_2010_2010-01-16T09:1.000000
Weather,meteo_2010_2010-01-16T08:1.000000
dep_2010-01-21_1927,hasDest,DFW:1.000000
GeoLocation,YAK:1.000000
Weather,meteo_2010_2010-01-16T01:1.000000
Weather,meteo_2010_2010-01-16T00:1.000000
Weather,meteo_2010_2010-01-16T03:1.000000
Weather,meteo_2010_2010-01-16T02:1.000000
Weather,meteo_2010_2010-01-16T05:1.000000
Weather,meteo_2010_2010-01-16T04:1.000000
2010,hasWeather,meteo_2010_2010-01-21T21:1.000000
LAR,serveCity,city_Laramie_WY:1.000000
2010,hasWeather,meteo_2010_2010-01-21T22:1.000000
2010,hasWeather,meteo_2010_2010-01-21T20:1.000000
dep_2010-01-31_1927,hasCarrier,DL:1.000000
2010,hasWeather,meteo_2010_2010-01-21T23:1.000000
GeoLocation,GUC:1.000000
City,city_Springfield_IL:1.000000
dep_2010-01-19_67,hasDest,DFW:1.000000
GeoLocation,GUM:1.000000
dep_2010-01-14_1927,hasOrigin,ATL:1.000000
2010,hasWeather,meteo_2010_2010-01-21T10:1.000000
CloudWeather,meteo_2010_2010-01-22T18:1.000000
2010,hasWeather,meteo_2010_2010-01-21T11:1.000000
CloudWeather,meteo_2010_2010-01-22T17:1.000000
city_Richmond_VA,locatedIn,state_VA:1.000000
CloudWeather,meteo_2010_2010-01-22T16:1.000000
CloudWeather,meteo_2010_2010-01-22T15:1.000000
2010,hasWeather,meteo_2010_2010-01-21T14:1.000000
2010,hasWeather,meteo_2010_2010-01-21T15:1.000000
2010,hasWeather,meteo_2010_2010-01-21T12:1.000000
2010,hasWeather,meteo_2010_2010-01-21T13:1.000000
CloudWeather,meteo_2010_2010-01-22T19:1.000000
2010,hasWeather,meteo_2010_2010-01-21T18:1.000000
2010,hasWeather,meteo_2010_2010-01-21T19:1.000000
2010,hasWeather,meteo_2010_2010-01-21T16:1.000000
2010,hasWeather,meteo_2010_2010-01-21T17:1.000000
GeoLocation,GST:1.000000
dep_2010-01-05_1927,hasOrigin,ATL:1.000000
GeoLocation,city_Boston_MA:1.000000
GeoLocation,city_Manhattan_KS:1.000000
GeoLocation,GTR:1.000000
CloudWeather,meteo_2010_2010-01-22T21:1.000000
CloudWeather,meteo_2010_2010-01-22T20:1.000000
GEG,serveCity,city_Spokane_WA:1.000000
GeoLocation,GTF:1.000000
city_Melbourne_FL,locatedIn,state_FL:1.000000
CloudWeather,meteo_2010_2010-01-22T23:1.000000
CloudWeather,meteo_2010_2010-01-22T22:1.000000
CloudWeather,meteo_2010_2010-01-22T07:1.000000
CloudWeather,meteo_2010_2010-01-22T06:1.000000
CloudWeather,meteo_2010_2010-01-22T05:1.000000
CloudWeather,meteo_2010_2010-01-22T04:1.000000
CloudWeather,meteo_2010_2010-01-22T09:1.000000
CloudWeather,meteo_2010_2010-01-22T08:1.000000
CloudWeather,meteo_2010_2010-01-10T21:1.000000
GeoLocation,GRR:1.000000
CloudWeather,meteo_2010_2010-01-10T22:1.000000
CloudWeather,meteo_2010_2010-01-10T23:1.000000
ArrOnTime,dep_2010-01-31_1923:1.000000
City,city_Nantucket_MA:1.000000
CloudWeather,meteo_2010_2010-01-10T20:1.000000
CloudWeather,meteo_2010_2010-01-10T18:1.000000
CloudWeather,meteo_2010_2010-01-10T19:1.000000
CloudWeather,meteo_2010_2010-01-10T14:1.000000
GeoLocation,GSO:1.000000
CloudWeather,meteo_2010_2010-01-10T15:1.000000
CloudWeather,meteo_2010_2010-01-10T16:1.000000
COS,locatedIn,state_CO:1.000000
VLD,locatedIn,city_Valdosta_GA:1.000000
CloudWeather,meteo_2010_2010-01-10T17:1.000000
GeoLocation,GSP:1.000000
CloudWeather,meteo_2010_2010-01-22T10:1.000000
CloudWeather,meteo_2010_2010-01-22T14:1.000000
CloudWeather,meteo_2010_2010-01-22T13:1.000000
CloudWeather,meteo_2010_2010-01-22T12:1.000000
CloudWeather,meteo_2010_2010-01-22T11:1.000000
Departure,dep_2010-01-11_1923:1.000000
Departure,dep_2010-01-11_1927:1.000000
GeoLocation,GRI:1.000000
GeoLocation,GRK:1.000000
city_Lexington_KY,locatedIn,state_KY:1.000000
ArrOnTime,dep_2010-01-31_1927:1.000000
GeoLocation,GRB:1.000000
VEL,locatedIn,state_UT:1.000000
CloudWeather,meteo_2010_2010-01-22T03:1.000000
CloudWeather,meteo_2010_2010-01-22T02:1.000000
CloudWeather,meteo_2010_2010-01-22T01:1.000000
CloudWeather,meteo_2010_2010-01-22T00:1.000000
dep_2010-01-14_1923,hasOrigin,ATL:1.000000
City,city_Springfield_MO:1.000000
DepOnTime,dep_2010-01-20_1923:1.000000
2010,hasWeather,meteo_2010_2010-01-08T07:1.000000
2010,hasWeather,meteo_2010_2010-01-08T06:1.000000
CloudWeather,meteo_2010_2010-01-10T00:1.000000
2010,hasWeather,meteo_2010_2010-01-08T09:1.000000
CloudWeather,meteo_2010_2010-01-10T01:1.000000
2010,hasWeather,meteo_2010_2010-01-08T08:1.000000
CloudWeather,meteo_2010_2010-01-10T02:1.000000
CloudWeather,meteo_2010_2010-01-09T18:1.000000
CloudWeather,meteo_2010_2010-01-09T19:1.000000
2010,hasWeather,meteo_2010_2010-01-08T01:1.000000
CloudWeather,meteo_2010_2010-01-09T16:1.000000
2010,hasWeather,meteo_2010_2010-01-08T00:1.000000
CloudWeather,meteo_2010_2010-01-09T17:1.000000
2010,hasWeather,meteo_2010_2010-01-08T03:1.000000
PartlyCloudy,meteo_2010_2010-01-12T01:1.000000
2010,hasWeather,meteo_2010_2010-01-08T02:1.000000
2010,hasWeather,meteo_2010_2010-01-08T05:1.000000
PSP,locatedIn,city_Palm_Springs_CA:1.000000
2010,hasWeather,meteo_2010_2010-01-08T04:1.000000
CloudWeather,meteo_2010_2010-01-09T10:1.000000
PartlyCloudy,meteo_2010_2010-01-12T05:1.000000
CloudWeather,meteo_2010_2010-01-09T11:1.000000
DepOnTime,dep_2010-01-20_1927:1.000000
PartlyCloudy,meteo_2010_2010-01-12T02:1.000000
CloudWeather,meteo_2010_2010-01-09T14:1.000000
PartlyCloudy,meteo_2010_2010-01-12T09:1.000000
CloudWeather,meteo_2010_2010-01-09T15:1.000000
PartlyCloudy,meteo_2010_2010-01-12T08:1.000000
CloudWeather,meteo_2010_2010-01-09T12:1.000000
CloudWeather,meteo_2010_2010-01-09T13:1.000000
OAK,locatedIn,state_CA:1.000000
city_Myrtle_Beach_SC,locatedIn,state_SC:1.000000
2010,hasWeather,meteo_2010_2010-01-08T18:1.000000
CloudWeather,meteo_2010_2010-01-10T10:1.000000
