,FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 27,Month
139,2010-02-20,DL,1923,ATL,DFW,1505,1502.0,-3.0,15.0,1517.0,1623.0,8.0,1636,1631.0,-5.0,0.0,,0.0,151.0,149.0,126.0,732.0,,,,,,,02
140,2010-02-21,DL,67,ATL,DFW,1630,1631.0,1.0,28.0,1659.0,1758.0,13.0,1805,1811.0,6.0,0.0,,0.0,155.0,160.0,119.0,732.0,,,,,,,02
141,2010-02-21,DL,1923,ATL,DFW,1505,1505.0,0.0,15.0,1520.0,1622.0,8.0,1636,1630.0,-6.0,0.0,,0.0,151.0,145.0,122.0,732.0,,,,,,,02
142,2010-02-21,DL,1927,ATL,DFW,1745,1747.0,2.0,21.0,1808.0,1902.0,12.0,1915,1914.0,-1.0,0.0,,0.0,150.0,147.0,114.0,732.0,,,,,,,02
143,2010-02-22,DL,67,ATL,DFW,1630,1632.0,2.0,19.0,1651.0,1740.0,8.0,1805,1748.0,-17.0,0.0,,0.0,155.0,136.0,109.0,732.0,,,,,,,02
144,2010-02-22,DL,1923,ATL,DFW,1505,1502.0,-3.0,12.0,1514.0,1607.0,11.0,1636,1618.0,-18.0,0.0,,0.0,151.0,136.0,113.0,732.0,,,,,,,02
145,2010-02-22,DL,1927,ATL,DFW,1745,1802.0,17.0,21.0,1823.0,1914.0,11.0,1915,1925.0,10.0,0.0,,0.0,150.0,143.0,111.0,732.0,,,,,,,02
146,2010-02-23,DL,67,ATL,DFW,1630,1625.0,-5.0,17.0,1642.0,1749.0,6.0,1805,1755.0,-10.0,0.0,,0.0,155.0,150.0,127.0,732.0,,,,,,,02
147,2010-02-23,DL,1923,ATL,DFW,1505,1503.0,-2.0,19.0,1522.0,1631.0,6.0,1636,1637.0,1.0,0.0,,0.0,151.0,154.0,129.0,732.0,,,,,,,02
148,2010-02-23,DL,1927,ATL,DFW,1745,1743.0,-2.0,27.0,1810.0,1910.0,12.0,1915,1922.0,7.0,0.0,,0.0,150.0,159.0,120.0,732.0,,,,,,,02
149,2010-02-24,DL,67,ATL,DFW,1630,1651.0,21.0,15.0,1706.0,1805.0,7.0,1805,1812.0,7.0,0.0,,0.0,155.0,141.0,119.0,732.0,,,,,,,02
150,2010-02-24,DL,1923,ATL,DFW,1505,1811.0,186.0,17.0,1828.0,1923.0,6.0,1636,1929.0,173.0,0.0,,0.0,151.0,138.0,115.0,732.0,0.0,6.0,0.0,0.0,167.0,,02
151,2010-02-24,DL,1927,ATL,DFW,1745,1916.0,91.0,14.0,1930.0,2023.0,10.0,1915,2033.0,78.0,0.0,,0.0,150.0,137.0,113.0,732.0,0.0,0.0,0.0,0.0,78.0,,02
152,2010-02-25,DL,67,ATL,DFW,1630,1630.0,0.0,23.0,1653.0,1759.0,5.0,1805,1804.0,-1.0,0.0,,0.0,155.0,154.0,126.0,732.0,,,,,,,02
153,2010-02-25,DL,1923,ATL,DFW,1505,1502.0,-3.0,16.0,1518.0,1626.0,5.0,1636,1631.0,-5.0,0.0,,0.0,151.0,149.0,128.0,732.0,,,,,,,02
154,2010-02-25,DL,1927,ATL,DFW,1745,1743.0,-2.0,14.0,1757.0,1859.0,6.0,1915,1905.0,-10.0,0.0,,0.0,150.0,142.0,122.0,732.0,,,,,,,02
155,2010-02-26,DL,67,ATL,DFW,1630,1647.0,17.0,16.0,1703.0,1754.0,13.0,1805,1807.0,2.0,0.0,,0.0,155.0,140.0,111.0,732.0,,,,,,,02
156,2010-02-26,DL,1923,ATL,DFW,1505,1500.0,-5.0,31.0,1531.0,1628.0,7.0,1636,1635.0,-1.0,0.0,,0.0,151.0,155.0,117.0,732.0,,,,,,,02
157,2010-02-26,DL,1927,ATL,DFW,1745,1745.0,0.0,24.0,1809.0,1900.0,12.0,1915,1912.0,-3.0,0.0,,0.0,150.0,147.0,111.0,732.0,,,,,,,02
158,2010-02-27,DL,67,ATL,DFW,1630,1627.0,-3.0,24.0,1651.0,1740.0,4.0,1803,1744.0,-19.0,0.0,,0.0,153.0,137.0,109.0,732.0,,,,,,,02
159,2010-02-27,DL,1923,ATL,DFW,1505,1501.0,-4.0,14.0,1515.0,1605.0,9.0,1636,1614.0,-22.0,0.0,,0.0,151.0,133.0,110.0,732.0,,,,,,,02
160,2010-02-28,DL,67,ATL,DFW,1630,1629.0,-1.0,17.0,1646.0,1746.0,6.0,1805,1752.0,-13.0,0.0,,0.0,155.0,143.0,120.0,732.0,,,,,,,02
161,2010-02-28,DL,1923,ATL,DFW,1505,1500.0,-5.0,24.0,1524.0,1624.0,7.0,1636,1631.0,-5.0,0.0,,0.0,151.0,151.0,120.0,732.0,,,,,,,02
162,2010-02-28,DL,1927,ATL,DFW,1745,1750.0,5.0,20.0,1810.0,1906.0,4.0,1915,1910.0,-5.0,0.0,,0.0,150.0,140.0,116.0,732.0,,,,,,,02
